"","B_R-B2_1_5404","B_R-B3_1_5405","B_R-B4_1_5406","B_R-D5_1_5407","B_R-D6_1_5408","B_R-D7_1_5409","B_R-D8_1_5410","B_R-D9_1_5411","B_R-E1_1_5412","B_R-E2_1_5413","L_R-E3_1_5424","L_R-E4_1_5425","L_R-E5_1_5426","L_R-E6_1_5427","L_R-E7_1_5428","L_R-E8_1_5429","L_R-F2_1_5433","L_R-F3_1_5434","M_R-E9_1_5435","M_R-F1_1_5436","M_R-F2_1_5437","M_R-F2_1_5439","M_R-F3_1_5438","M_R-F3_1_5440","P_R-C1_1_5414","P_R-C2_1_5415","P_R-C3_1_5416","P_R-C4_1_5417","P_R-C5_1_5418","P_R-C6_1_5419","P_R-C7_1_5420","P_R-C8_1_5421","P_R-C9_1_5422","P_R-D1_1_5423"
"Q80U28",6.43412661613758,6.46796630993514,5.05617528302704,4.13861931399394,5.44068957727132,9.46327022843303,6.19062205888653,6.66150165822294,7.86286424261212,2.94020106351213,NA,NA,0.726071049533223,0.779149623066682,NA,NA,NA,NA,1.19389933057686,0.700895588157178,1.46414741191155,1.49144681659114,NA,1.81212527197213,1.70536515625348,NA,0.256438568778128,0.340265896991214,1.11234591633913,2.87381769298061,1.6519784966003,1.74124602933265,NA,NA
"Q80U30",6.96017804231478,5.75300846130315,3.75011574929985,6.22886248917239,3.87552452692824,4.38479244167913,3.26668075972817,3.21092791603498,4.00444626266651,4.21159092538099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00227429830342,NA,NA
"Q80U35",1.89192507071131,NA,2.08153387800531,2.60756934850738,1.67098065857016,2.28684902594874,0.864940422448935,1.81193348959042,0.92313920800013,2.10371854067038,NA,0.448819531676986,NA,NA,NA,NA,NA,1.14579350813376,NA,NA,NA,4.08806519945937,NA,NA,NA,NA,NA,NA,NA,NA,1.06635168692713,2.13246760345702,NA,NA
"Q80U38",2.94296848123897,2.61673460569547,3.00096281072535,1.34377498150141,3.96068296839647,4.61756789689782,2.02219885756104,5.47222761389525,NA,NA,NA,7.96023804956339,NA,NA,NA,NA,1.62559251595628,NA,1.91828207121868,0.696005909690801,2.95200508001507,1.37051489437097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.59062430193299
"Q80U40",16.4856299460327,13.4315966433074,12.7058427626591,12.8927277652017,16.1865475978956,21.8792725656811,14.6513949735441,16.7015232779226,12.8398419019921,12.7683169489892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q80U44",NA,4.90591058984698,3.13336313807615,0.464030765944015,NA,0.762944131301047,1.20374541243829,0.710861820674965,4.06638432606809,NA,4.44859174520159,1.54856723523485,NA,1.76553818181825,NA,1.012726821356,3.46815170289763,1.85346943781899,1.56036437126514,2.5555001999846,3.45253545686467,0.536715043276966,NA,2.33718927315519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q80U49",3.63997167673261,3.9965717505223,3.71577801897687,3.56776842067455,4.1054251744049,4.52866925832308,3.54043393486144,4.7471360468495,2.83020734619346,2.33948779458644,0.908659245689632,1.9308614563033,NA,1.27951572012727,NA,1.0517306215415,3.24507228686546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26809125197049,1.92584878333512,2.47456875981689,NA,NA,5.86526440894679
"Q80U56",6.58652350195996,7.39054952215572,7.04327475038915,5.20610257407345,5.64558479089166,4.80792389809544,5.89984067688179,6.91492084416977,8.23655289340896,3.26716234910796,1.21017821313655,NA,NA,NA,0.90351650106165,0.419325360439719,NA,NA,0.178714551238877,1.65974846718745,2.16778907572292,3.80073662733368,3.88621646412276,2.29342331272059,NA,NA,NA,NA,NA,1.82539230227336,NA,NA,NA,NA
"Q80U57",1.46950868402802,3.64506467711102,1.84312615061143,2.35555627960213,NA,2.13821946239249,2.15955965036086,2.00870283666408,1.47632542542805,3.73638494254412,NA,NA,NA,0.447935208895192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q80U58",2.20947193038632,1.71364925153151,2.27776855552636,1.6108382998075,1.95087580691386,3.0760455923262,1.61088465053643,2.51714252515202,3.26578987911698,3.43070823818392,1.77087134683619,NA,0.662007419219315,NA,1.3826674913018,NA,0.866171557161624,NA,0.766060686804292,0.97632244043045,3.12178898881671,2.10483388657305,2.31011673161411,1.21741675048005,3.0097699963533,NA,1.17556082310371,1.14775886330733,1.64728208590059,2.25679728068802,0.951595223909666,1.26947009860364,0.849037115929323,0.839251970319075
